0.021908,0.116794
0.061063,0.889135
0.303939,0.388945
0.136780,0.537858
0.971905,0.859544
0.490342,0.223554
0.152504,0.472380
0.761523,0.100899
0.903076,0.765402
0.243533,0.386050
0.136033,0.375129
0.314605,0.839445
0.329408,0.376367
0.745032,0.758664
0.337706,0.148544
0.961933,0.330439
0.186669,0.579519
0.610437,0.298609
0.745684,0.963629
0.824029,0.210094
0.497038,0.933495
0.931057,0.152245
0.664265,0.976514
0.120681,0.318898
0.068868,0.317521
0.902614,0.875240
0.963832,0.650462
0.531721,0.939069
0.249232,0.599347
0.710835,0.101174
0.513237,0.808886
0.833162,0.887099
0.948428,0.512689
0.870337,0.649879
0.761234,0.562993
0.589819,0.003634
0.874894,0.150162
0.817047,0.900986
0.569656,0.388380
0.754907,0.404189
0.037203,0.122721
0.060789,0.901348
0.307727,0.365170
0.144704,0.550236
0.963849,0.863911
0.494496,0.237161
0.150752,0.465314
0.761990,0.093825
0.905988,0.755754
0.264579,0.384819
0.151599,0.351220
0.329109,0.823091
0.323618,0.385344
0.733572,0.757365
0.352948,0.125651
0.968454,0.334376
0.186465,0.566358
0.606667,0.295763
0.741473,0.963206
0.804452,0.214465
0.487229,0.931985
0.926611,0.149975
0.672174,0.973974
0.138778,0.295924
0.079209,0.316549
0.896227,0.884305
0.967568,0.630141
0.550192,0.943239
0.258802,0.604633
0.704744,0.116196
0.512809,0.822387
0.828091,0.883082
0.949874,0.510575
0.869295,0.640121
0.764776,0.584622
0.583240,-0.001481
0.880731,0.143208
0.808345,0.911472
0.566956,0.369706
0.750693,0.414383
